Question,Answer(s),Used?,Category,Points
"Satsuki and Mei, two young girls who have just moved to a rural town in Japan, befriend a variety of woodland spirits - including the title character - in what 1988 animated film by Studio Ghibli?",My Neighbour Totoro,7-Apr,Entertainment,1
"Which film, nominated for 11 oscars at the 2024 ceremony, was based on a 1992 novel with the subtitle Episodes from the Early Life of Archibald McCandless M.D., Scottish Public Health Officer?",Poor Things,21-Apr,Entertainment,1
"In a 1993 film, Tom Hanks plays Sam Baldwin, who moves to which city on the west coast of the United States of America? In the same year, the psychiatrist Frasier Crane started his own radio talk-show in the same city.",Seattle,21-Apr,Entertainment,1
"In which video game franchise, with titles including Hell on Earth and Eternal, does the player battle the forces of hell, usually on Mars or its moons?",Doom,21-Apr,Entertainment,1
"On the cover of the Beatles' album Abbey Road, which of the Beatles is not wearing shoes? This spawned a number of rumours that he was dead. ",Paul McCartney,5-May,Entertainment,1
"In the lyrics to the 2008 song “American Boy”, which British blackcurrant cordial brand fills in the blank: ""He crazy. I know what you thinking. [BLANK], I know what you’re drinking""?",Ribena,5-May,Entertainment,1
"In a move widely described as unprecedented in Hollywood history, which unreleased American superhero film, based on the DC character Barbara Gordon, was cancelled in August 2022?",Batgirl,19-May,Entertainment,1
"What connects the deaths of Otis Redding; John Denver; and the Lynyrd Skynyrd lead vocalist, Ronnie Van Zant?",Plane Crash,19-May,Entertainment,1
"Which former Newsnight presenter is known for her infamous interview of Prince Andrew? During the interview, Prince Andrew claimed he temporarily lost the ability to sweat after an ""adrenaline overdose"" during the Falklands War.",Emily Maitlis,19-May,Entertainment,1
"""I need a ncie boy totake care of me, he who looks like"" what? These two words title a 2024 show by Richard Gadd about being stalked. ",Baby Reindeer,19-May,Entertainment,1
"Which rapper used her real first name, Amala, as the title of her 2018 debut studio album? The album's deluxe version featured the songs “Juicy” and “Mooo!”",Doja Cat,19-May,Entertainment,1
"Which 1964 song was written by the singer in his bathroom, where he turned off the lights to concentrate, hence the opening words, “Hello darkness”?",Sound of Silence,2-Jun,Entertainment,1
Which character is the best friend of Deadpool? A different character with the same name almost immediately drowns at the start of The Suicide Squad because he can’t swim.,Weasel,2-Jun,Entertainment,1
"Released two years after Don Rickles' death from kidney failure, Toy Story 4 used reconstituted voice clips to enable his posthumous performance as which married toy?",Mr Potato Head,2-Jun,Entertainment,1
Hugh Glass was the inspiration for which 2015 film about a man who was injured by a bear and dragged himself nearly 200 km in order to get help?,The Revenant,7-Jul,Entertainment,1
"Kyle MacLachlan plays Hank in which 2024 Amazon TV series, in which Ella
Purnell plays the Vault dweller Lucy MacLean? ",Fallout,7-Jul,Entertainment,1
"The band that recorded the songs ""Lump"" and ""Peaches"" are named after which group of 46 individuals who have all been male? (You don't need the exact name of the band)","The Presidents of the United States of America [accept U.S. Presidents, etc.]",7-Jul,Entertainment,1
"Olly Alexander, the vocalist for Years & Years, was chosen to represent the United Kingdom in the 2024 Eurovision Song Contest with which song?",Dizzy,21-Jul,Entertainment,1
"The current President of Nintendo in America shares his surname with which character from the Mario universe? This character is called Daimao, or Great Demon King, in Japan.",Bowser,21-Jul,Entertainment,1
"Only three women have won the Oscar for Best Director – can you name any two of them? Their winning films were The Hurt Locker, Nomadland, and The Power of the Dog. ","Kathryn Bigelow, Chloe Zhao, Jane Campion",21-Jul,Entertainment,2
"Known as the “Godfather of Grunge”, who recorded the 1995 album Mirror Ball alongside the band Pearl Jam?",Neil Young,,Entertainment,1
"Lee Jung-jae and Lee Yoo-mi became the first Asian actors, and Hwang Dong-hyuk the first Asian director, to win Primetime Emmy Awards for their work on what Netflix series?",Squid Game,,Entertainment,1
"Which man is on the £50 pound note? He is famed for his contributions to computer science, and The Imitation Game starred Benedict Cumberbatch as this man.",Alan Turing,,Entertainment,1
"Beyoncé sings “Denim on denim on denim on denim"" on a track of her 2024 album named after which company? This company's share price increased 20% after the song was released.","Levi's [or Levi Strauss & Co., accept the song, Levii’s Jeans]",,Entertainment,1
Who were the three members of Nirvana when they released the album Nevermind? ,"Kurt Cobain, Krist Novoselic, Dave Grohl",,Entertainment,3
"Named by an Italian navigator who was reminded of Venice, which country in South America has a name that literally translates from Spanish as ""Little Venice""? ",Venezuela,5-May,Etymologies,1
"Which phrase meaning to make every effort originally referred to something Johann Sebastian Bach used to do while testing organs, in order to produce a blast of unfiltered sound?",Pull out all the stops,,Etymologies,1
"Which often sung religious word can be literally translated as ""praise ye Yah!"", where Yah is a shortening of the God Yahweh? ",Hallelujah,,Etymologies,1
"Which word, meaning someone who fanatically pursues a goal, comes originally from a political group who sought to incite the province of Judea to rise up against the Romans? ",Zealot,,Etymologies,1
Sfax is the second largest city in which African country? This country’s capital has a very similar name to the country itself.,Tunisia ,Feb-24,Geography,1
What is the only place on Earth that has native penguins living north of the equator?,Galapagos Islands,Feb-24,Geography,1
What are the only two EU countries whose capital is not their largest city? ,Belgium and Malta ,3-Mar,Geography,2
"Known for drenching unsuspecting tourists, the Jet d'Eau (or Water Jet) is fountain which sprays water 100m into the air in which Swiss city? ",Geneva,17-Mar,Geography,1
"The 2024 biography The Showman by Simon Schuster profiles which current world leader, and former actor and comedian?",Volodymyr Zelenskyy,17-Mar,Geography,1
"Sir Henry Havelock, Sir Charles Napier, George IV and Antelope by Samson Kambalu can all be found where?",Trafalgar Square,17-Mar,Geography,1
"Sometimes called the Oracle of Omaha, which CEO of Berkshire Hathaway is known for his value investing strategy and in March 2024 had a net worth of $134 billion? ",Warren Buffett,17-Mar,Geography,1
What does the word Moana mean in Hawaiian? It is of critical importance to Polynesian peoples. ,Ocean or Sea,7-Apr,Geography,1
Name any three of the four largest Caribbean islands. We need the name of the ISLANDs.,"Cuba, Jamaica, Hispaniola, Puerto Rico",7-Apr,Geography,3
"Which style of singing is practiced by people in Tuva and Mongolia? It involves singing further back than the mouth, from a specific part of the body.",Throat singing,7-Apr,Geography,1
"Which major river was explored by the Spanish soldier Francisco de Orellana, who reportedly gave it its name after reporting battles with tribes led by women warriors? ",Amazon,7-Apr,Geography,1
"According to 2018 estimates by the U.N., the five largest cities in the world are all in different countries. Name any four of them. (we want the cities by urban area, rather than metropolitan area)","Tokyo (37.5 million), Delhi (28.5 million), Shanghai (25.6 million), São Paulo (21.7 million), Mexico City (21.6 million)",21-Apr,Geography,4
"Named for the two oceans at either end of the route, the Indian Pacific is a train line spanning which country?",Australia,19-May,Geography,1
"What is the second largest branch of Islam, representing 10-15% of Muslims worldwide? They are a majority in Iran.",Shia,2-Jun,Geography,1
What are the only three countries which only have the colours green and white on their flag?,"Nigeria, Pakistan and Saudi Arabia",2-Jun,Geography,3
Only four German cities have a population over one million people. Name any three of them.,"Berlin, Munich, Hamburg and Cologne",7-Jul,Geography,3
"Which South American flag features the colours red, white and blue and is unique among national flags because it differs between the front and the back?",Paraguay,21-Jul,Geography,1
Which capital city has a name that translates from Spanish  as “fair winds”?,Buenos Aires,21-Jul,Geography,1
There are four European capital cities that lie on the river Danube. Name any three of them.,"Vienna, Bratislava, Budapest and Belgrade",21-Jul,Geography,3
The prickly pear is one of the symbols of which country in the Americas? The flag features an eagle perched upon it. ,Mexico,,Geography,1
Which continent has the most countries in it? ,Africa (with 54),,Geography,1
"What city is the most populous in South America, with around 22 million people in its metropolitan area?",São Paulo,,Geography,1
"Boca del Serpiente, or the Serpent’s Mouth, is the narrow strait that separates Venezuela from which island, the fifth largest in the Caribbean? ",Trinidad,,Geography,1
"By area, which county is the largest of the 48 counties of England? A two-word answer is required. ",North Yorkshire,,Geography,1
"Which Mexican state was called Mayab before the arrival of the Spanish, and gave its name to the Mayan people? Its namesake peninsula juts out into the Gulf of Mexico.",Yucatan,,Geography,1
"Which country's name can be translated from Spanish as ""rich coast"" because Christopher Columbus believed the land there was filled with precious metals?",Costa Rica,,Geography,1
What is the only country in the world through which both the equator and the Tropic of Capricorn pass?,Brazil,,Geography,1
"The energy company ESKOM generates 95% of the energy in which country, and 45% of the energy across the entire continent that this country is on? There have been rolling blackouts in this country since 2008.",South Africa,,Geography,1
What was the English name of the agrarian political party in Czechoslovakia which supported German annexation of the Sudetenland prior to WWII? This name is also derogatory term for a football competition that is deemed uncompetitive.,Farmers' League,Feb-24,HB/LB,1
"Which famous Italian poem of the 14th century has sections including the Inferno, Purgatory and Paradise? A Northern Irish pop band known for National Express is named after this poem.",The Divine Comedy,Apr-24,HB/LB,1
"What is the capital of the U.S. State of Mississippi? In Uptown Funk by Mark Ronson and Bruno Mars, this city follows the lyrics: ""Julio! Get the stretch! Ride to Harlem, Hollywood...""",Jackson,Apr-24,HB/LB,1
"What name is given to the trilogy of books by Pat Barker set in World War I? The last of the books, The Ghost Road, won the 1995 Booker Prize. It is also the name of one of Doctor Who's abilities.",Regeneration,Apr-24,HB/LB,1
"Which four-letter word follows ""vena"" in the name of the large vein that returns deoxgenated blood from the body to the heart? It is also the name of a sparkling wine whose previous nickname was ""Spanish champagne"". ",Cava,Apr-24,HB/LB,1
Which type of basic electronic circuit alternates between two states to store information? It shares its name with an item of footwear.,Flip-Flop,,HB/LB,1
Fez Morocco and Fez hat,,,HB/LB,
What is the most traded spice in human history? At times it made up to 80% of the spice trade and it is still found in almost every restaurant to this day.,Pepper,Feb-24,History,1
"The first openly gay person to serve as the head of state for a G7 country, Gabriel Attal recently became Prime Minister of which European country? ",France,Feb-24,History,1
Which French alchemist was believed to have discovered the Philosopher's Stone and to have thereby achieved immortality? He hasn't been seen since his death in 1418.,Nicholas Flamel,Feb-24,History,1
"Which word, meaning regular payment, comes from the Latin for ""salt-money""? It was given regularly to Roman soldiers so that they could purchase salt.",Salary,Feb-24,History,1
"Christina of Denmark was considered as a possible bride for which English king? She was deeply opposed to the prospect and reputedly said, ""If I had two heads, I suppose one could be at the King of England's disposal.""",Henry VIII,3-Mar,History,1
"Who became King of Scotland in 1040 when he killed Duncan I, and ruled until his death in 1057? He is much more famous in a literary context.",Macbeth,3-Mar,History,1
"The second of the two atomic bombs used in World War II, the Fat Man bomb was originally intended to be dropped on the Japanese city of Kokuro before being diverted and dropped on which city instead? ",Nagasaki,17-Mar,History,1
"Lasting around 45 minutes, the shortest recorded war in history was fought between the British and which archipelago that united with Tanganyika in 1964 to form Tanzania?",Zanzibar,7-Apr,History,1
Ferdinand de Lesseps was a major developer of which major structural project in Egypt in the 19th century? He later attempted to repeat this success in Panama. ,Suez Canal,21-Apr,History,1
"A former security-guard at Argos, Adama Barrow has been, since 2017, the president of which nation? It is in West Africa, and almost completely surrounded by Senegal. ",Gambia,21-Apr,History,1
"Which U.S. President, who held the office from 1829 to 1837, currently features on the 20$ bill? For a bonus point, there is an ongoing campaign to replace him on the bill with which abolitionist, who escaped slavery in 1849 and helped to operate the underground railroad?",Andrew Jackson and Harriet Tubman,21-Apr,History,2
"Which French soldier may have suffered from temporal epilepsy, which was responsible for her visions of God? She was burnt at the stake after being captured by the English during the Hundred Years War.",Joan of Arc,5-May,History,1
"Who is the current First Minister of Wales, succeeding Mark Drakeford in the role? He is the first black leader of any European country.",Vaughan Gething,5-May,History,1
Which city is home to the oldest university in Europe? It also gives its name to a very common pasta dish.,Bologna ,5-May,History,1
"LINK TO GETHING Q: For a bonus point, Edgars Rink?vi?s became the first openly gay head of state in a European Union country in 2023, when he became president of which Baltic country?",Latvia,5-May,History,1
Kanji is the script of which country's writing system? Chinese missionaries introduced a written script into this country in the 6th century. ,Japan,5-May,History,1
"Which man taught that Black people were the original people of the world, and that White people were a race of devils who were created by an evil scientist named Yakub? He was assassinated in Manhattan in 1965 by several members of the Nation of Islam.",Malcolm X ,19-May,History,1
The CIA military base of Long Tieng was at one time the second largest city in which country? This country's largest city and capital is Vientiane. ,Laos,19-May,History,1
"One theory for the origin of which phrase - loosely meaning ""and there it is"" - is attributed to Robert Gascoyne-Cecil electing his nephew Arthur Balfour as Chief Secretary for Ireland in 1887?",Bob's Your Uncle,19-May,History,1
"In Haiti, which figure is a counterpart of Father Christmas, known for abducting bad children by putting them in his knapsack? During the dictatorship of Papa Doc Duvalier, the Haitian secret police was given this nickname because they were also said to make people disappear.",Tonton Macoute,2-Jun,History,1
What was the first country to adopt Christianity as its official religion? A saint in this country managed to convert the King after 13 years of imprisonment in the shadow of Mount Ararat.,Armenia,21-Jul,History,1
"What was the largest contiguous empire (i.e., all land was connected together) in history?",Mongol Empire,,History,1
"European discovery of what natural phenomena dates from a Spanish expedition to the Caribbean in 1513 when they ran into “A current such that, although they had great wind, they could not proceed forwards""? It is now better known for its effect on temperatures.",Gulf Stream,,History,1
"Electrum, a silver and gold alloy, was used in the first examples of what in the 7th century BC? It was better than gold for making these because it was harder and more durable. ",Coins,,History,1
"The name of which traditional dish precedes ""Communism"" in a term that describes the greater freedom and prosperity in Hungary during the Cold War under then leader Janos Kadar, compared to other Eastern Bloc countries?",Goulash,,History,1
"In 1670, Bushel's case set a precedent for establishing the independence of which group of people? It has been discussed recently in the wake of Extinction Rebellion criminal proceedings. [maybe add sth about people being arrested for stating that juries can vote according to their conscience instead of the XR?]",Jury,,History,1
Who was the only leader of the Soviet Union to be born after the October Revolution of 1917? ,Mikhail Gorbachev,,History,1
"During the fall of communism in Europe, which was the only country not to transition to democracy peacefully? This country's leader and his wife were shot on national TV.",Romania,,History,1
Name the three women who have appeared on UK banknotes. [clue this],"Florence Nightingale, Elizabeth Fry, Jane Austen",,History,3
Jiaochao was first introduced by the Jin dynasty in 1154. The new practice was commented upon by Marco Polo and the term jiaochao refers to money made of which material?,Paper,,History,1
"Which band has a three word name that can also describe figures such as Sancho the Fat, Alfonso the Brave and Bermudo the Gouty?",Kings of Leon,Nov-24,History,1
"Serving from 1921-1940, James Craig was the first Prime Minister of which country in the United Kingdom?",Northern Ireland,,History,1
Elizabeth Garrett Anderson was the first woman in the UK to qualify for which profession? ,Doctor [or surgeon or physician],,History,1
"One theory for the origin of which phrase - loosely meaning ""to ignore the true facts"" - is attributed to Admiral Nelson disregarding the orders given to him during the Battle of Copenhagen in 1801?",Turn a blind eye,,History,1
"Which major religious leader was victorious at the Battle of the Trench in 627AD near Medina, where he used a large ditch to confuse his enemy?",Muhammad,,History,1
"Pope Benedict XIII placed a ban on priests wearing what items in church? This is ironic, as he was the only bald Pope of the 18th century.",Wigs,,History,1
"Which French leader, who founded the French Fifth Republic, did Winston Churchill suggest looked like ""a female llama who has just been surprised in her bath""?",Charles de Gaulle,,Insults,1
"Frankie Boyle said of which actor: ""Nobody thought he could play a Scot, but look at him now! Alcoholic and a racist!""",Mel Gibson,,Insults,1
"Which wellness brand was founded by Gwyneth Paltrow? It launched as a series of advice emails, telling you to ""police your thoughts"" and ""eliminate white foods"", but later moved on to selling jade eggs and vampire repellent. ",Goop,2-Jun,Lifestyle,1
"Which brand, originally founded in 1834, is known for its ‘London look’? ",Rimmel,2-Jun,Lifestyle,1
Opium is a perfume created by which company? It was famously promoted in 2000 with an advertising poster that featured the model Sophie Dahl lying on her back wearing only a pair of stiletto heels. ,Yves Saint Laurent,,Lifestyle,1
"Which dance style, which originated in Harlem in the 1920s, is named after the man who completed the first transatlantic flight?",Lindy Hop,7-Apr,Misc,1
"What lively folk dance from Southern Italy is actually named after a town in the Italian Peninsula's bootheel, not after a particular arthropod?",Tarantella,,Misc,1
"What name is shared by an English Commonwealth Silver medal winning gymnast, and a transport system that opened in 2022?",Elizabeth Line,,Misc,1
"A competition for what is held in Cumbria every year? Competitors have five minutes, and politicians and lawyers are not allowed to enter because they are “too skilled” at this activity.",Lying,Feb-24,PC & Lifestyle,1
"Which rapper once explained his choice of stage name saying ""They bite to lock. The dog is too stupid to lose. And they're outlawed in Dade County. They're basically everything I am""?",Pitbull,Feb-24,PC & Lifestyle,1
The 100 folds in a chef's toque hat are supposed to represent the 100 different ways to do what?,Cook eggs,Feb-24,PC & Lifestyle,1
"Which ""traditional"" Italian bread was actually only invented in 1982 to compete with the popularity of French baguettes?",Ciabatta,Feb-24,PC & Lifestyle,1
"Which French pastry's name translates as 'flash of lightning'? It apparently called that because it is eaten in a flash, but some say it's because the glistening of the frosting resembles lightning.",Éclair,Feb-24,PC & Lifestyle,1
Which London luxury fragrance and candle company was sold to Estée Lauder in 1999? John Boyega resigned as their brand ambassador in 2020 when they replaced him with a Chinese actor for an advert based on his upbringing in Peckham. ,Jo Malone,24-Feb,PC & Lifestyle,1
"Which Andrew Lloyd Webber musical focuses on the life of the titular first lady? Madonna sang the music for the motion picture, including the famous track 'Don't Cry for Me Argentina'.",Evita,3-Mar,PC & Lifestyle,1
What onomatopoeic name is given to the giant stone faces that appear in Bowser's castle in the Mario games? They usually try to crush anyone who goes underneath them.,Thwomps,3-Mar,PC & Lifestyle,1
"Trevor Rainbolt, usually just called Rainbolt, is considered the greatest player ever at which online game? As part of a stunt for Red Bull, he scored 21,047 out of 25,000 in a 'classic game' while skydiving in California.",GeoGuessr,3-Mar,PC & Lifestyle,1
"Which singer, known as the King of Reggaeton and for his single Gasolina, has officially retired from music to dedicate his life to Christianity?",Daddy Yankee,3-Mar,PC & Lifestyle,1
"Which much mocked film of 2019 starred Ava Michelle as Jodi? At the end of the film, her love interest, Dunkleman, stands on a milk crate to kiss her.",Tall Girl,17-Mar,PC & Lifestyle,1
"Which type of mushroom are about 25% of the total yearly production of mushrooms? In 1998, Jeff Gold attempted to register this type of mushroom as a website domain but was blocked due to an obscenity filter. ",Shiitake mushroom,17-Mar,PC & Lifestyle,1
"Shigeichi Negishi and Daisuki Inoue were instrumental in the development of which type of entertainment, which has a Japanese name meaning “empty orchestra”?",Karaoke,17-Mar,PC & Lifestyle,1
Which word follows 'French...' in the usual English name for a dish known in France as 'pain perdu'?,Toast,Apr-24,PC & Lifestyle,1
"Which Korean-style grilled dish is made of thin, marinated slices of meat, most commonly beef, grilled on a barbecue or on a stove-top griddle?",Bulgogi,Apr-24,PC & Lifestyle,1
"Which song, named for a flower, was the biggest hit for R&B singer Patrice Rushen? Will Smith sampled it for his song Men in Black.",Forget Me Nots,7-Apr,PC & Lifestyle,1
What word beginning with C is used for a type of cosmetic that is used to mask imperfections on the skin? ,Concealer,7-Apr,PC & Lifestyle,1
"Which rapper, born in Morocco as Karim Kharbouch, is the most streamed African-born musician in the world? He is best known for the song Unforgettable.",French Montana,21-Apr,PC & Lifestyle,1
"Sometimes described ""the air conditioner of the Punjab"", what Indian beverage is made by mixing yoghurt, water and spices such as cumin?",Lassi,21-Apr,PC & Lifestyle,1
"Popularised by Coco Chanel's designs, the LBD is a dress that is typically elegant and fairly short, but is always what colour?",Black,5-May,PC & Lifestyle,1
"Known as queer culture icons, which fictional gothic rock band composed of Thorn, Dusk and Luna feature in the Scooby Doo franchise? ",Hex Girls,5-May,PC & Lifestyle,1
"The editor of Vogue since 1988, Anna Wintour's frosty demeanour and penchant for firing people earned her what two-word nickname, punning on her last name? It is a two-word phrase referring to a severe global climatic cooling effect.",Nuclear Wintour,19-May,PC & Lifestyle,1
"Opium, L'Homme and Magnificent Blossom are fragrances made by which fashion brand named after its Algerian founder?",Yves Saint Laurent,"Check Can't Remember, maybe Mar 17th",PC & Lifestyle,1
What is the Prime Minister’s estate in the Chilterns called?,Chequers,,PC & Lifestyle,1
"Which orange fish Pokemon has a reputation for being useless and evolves into Gyarados, a sea dragon Pokemon that actually does something?",Magikarp,Mar-25,PC & Lifestyle,1
"Which ten-letter word, itself connected to keyboards more generally, can be written using letters from the top line of a keyboard layout (i.e. 'QWERTYUIOP')?",Typewriter,,PC & Lifestyle,1
"Which American Gonzo journalist wrote “I hate to advocate drugs, alcohol, violence, or insanity to anyone, but they've always worked for me”?",Hunter S. Thompson,,PC & Lifestyle,1
Billie Eilish shares a middle name with which group of people who sailed the high seas under the Jolly Roger in the 18th century?,Pirate,,PC & Lifestyle,1
"Taken by physician R. Kenneth Wilson in Scotland in 1934 and published in the Daily Mail, 'the 'surgeon's photo' was claimed to be the first photo of what?",Loch Ness Monster,,PC & Lifestyle,1
"In 2020, Canadian engineer Shay Shariatzadeh married which wrestler? His name is usually preceded by the phrase ""And his name is"".",John Cena,,PC & Lifestyle,1
Many people experience a hypnic jerk when they are about to do what? This neurological twitch is completely benign. ,Fall asleep,Feb-24,Science,1
"Which neurotransmitter plays a major role in reward-related behaviour? Popular media often suggests it is the main pleasure chemical, but it is much more important in influencing motivation.",Dopamine,3-Mar,Science,1
"In 1610, which Italian observed three moons orbiting Jupiter, which contradicted the then prevalent idea that all heavenly bodies orbited the Earth?",Galileo Galilei,17-Mar,Science,1
What are the two largest species of rodent in the world? ,Capybara and Beaver,Apr-24,Science,2
"Thomas Midgley was called ""the organism that had the most adverse impact on the atmosphere in Earth's history"" because he invented which hydrocarbons which destroyed the ozone layer? They are known by a three-letter acronym and are now highly regulated.  ",CFCs [or Chlorofluorocarbons],7-Apr,Science,1
"The chemical symbols for fluorine, arsenic, carbon, iodine, and samarium combine to form the name of which political philosophy?",Fascism,21-Apr,Science,1
"Since it opened in 1935, over 7 million people have looked through a telescope in the Griffith Observatory, the most of any telescope ever. The Observatory, famously featuring in La La Land, is in what American city? ",Los Angeles,21-Apr,Science,1
What is the sixth triangular number?,Twenty-One,5-May,Science,1
"The voice of Dennis Klatt, an MIT researcher in speech and hearing science, became familiar worldwide, as it was the basis for the text-to-speech synthesizer utilised by which individual from the mid-1980s onwards?",Stephen Hawking,19-May,Science,1
"In 1960, Theodore H. Maiman operated the first functioning laser using a crystal made from which gemstone? It is also the traditional gift for a couple celebrating their 40th wedding anniversary in the UK.",Ruby,19-May,Science,1
"Native to the Americas, what is the loudest monkey on Earth? It can be heard up to three miles away through dense rain forest.",Howler Monkey,19-May,Science,1
Which body part is thought to have evolved from ancient fish scales 400 million years ago? They are now covered by a layer of enamel.,Teeth,7-Jul,Science,1
"Crab claw, Lateen, Genoa and Spinnaker are all types of what?",Sail,21-Jul,Science,1
"ALT (if CFCs too hard): Thomas Midgley was called ""the organism that had the most adverse impact on the atmosphere in Earth's history"" because he invented both CFCs and the leaded form of which fuel? It is used in car engines in a similar way to diesel. ",Gasoline,Don't Use,Science,1
"What is the common name for the South African plant aspalathus linearis, used to make herbal tea?",Rooibos/Redbush,,Science,1
"Native to east Asia, the white species of which flowering plant is the preferred food of silkworms?",Mulberry,,Science,1
"The presence of which element in corundum is gives rubies their red colour? This element is also the name of a browser made by Google which contains much of the open-source code used for another, much more popular browser. [REWRITE]",Chromium,,Science,1
"What are the three smallest bones in the human body? They are all found in the ear. Two of them share their names with tools you might use to work metal, and the other shares its name with something you use when horse-riding. ","Hammer, Anvil, and Stirrup [or Malleus, Incus and Stapes]",,Science,3
"Which Chicago Bulls’ player somehow dominated ‘The Flu Game’ in the 1997 NBA finals? As he explained in The Last Dance, he was suffering from extreme food poisoning but played anyway, winning the game before collapsing into his teammate’s arms.",Michael Jordan,Feb-24,Sport,1
How many different opening moves are possible in a game of chess?,Twenty,Feb-24,Sport,1
"The 1985 World Championship final of which sport holds the record for the most TV viewers in the UK after midnight, with 18.5 million?",Snooker,Feb-24,Sport,1
"Popularly known by the nickname ""the Magician"", Efran Reyes is widely regarded as the greatest ever player of which game, particularly its one-pocket format? ",Pool,3-Mar,Sport,1
"Which team won against Scotland in the Men's Rugby Six Nations recently, making it the first time they have won a home match since 2013?",Italy,17-Mar,Sport,1
"Which Canadian is considered the greatest ice hockey player ever and is the leading career goal scorer, assist producer and point scorer in the history of the NHL?",Wayne Gretsky,7-Apr,Sport,1
"Belgium’s away kit for the 2024 Euros is a homage to which cartoon reporter? Sadly, none of the players get to dress like Captain Haddock.",Tintin,7-Apr,Sport,1
"Which nation, in 1970, became the first to win the FIFA World Cup three times, allowing them to keep the Jules Rimet trophy?",Brazil,21-Apr,Sport,1
"Which Indian batsman scored double centuries in two consecutive test matches against England in 2024? In the same series, he equalled the world record for the most sixes scored in a test innings with 12.",Yashasvi Jaiswal,21-Apr,Sport,1
Which track cyclist is the most successful British female Olympian of all time? She is married to the most successful British male Olympian of all time. ,Laura Kenny,21-Apr,Sport,1
Which two British women have won gold medals in the Olympic Heptathlon?,Denise Lewis and Jessica Ennis-Hill,2-Jun,Sport,2
